Producion Date		TRNSCTN_TMSTMP_UPD	TRNSCTN_USER_ID	DATE_DT	UP_CD	UHP_CD	MACHINE_CD	Tool	PROCESS_ORDER_ITEM_ID	MATERIAL_CD	TOT_PROD_QTY	TOT_GOOD_PROD_QTY	TOT_SCRAP_QTY	MATERIAL_UNIT_COST_AM
4/27/2018 20:38	4/27/2018 20:38	4/27/2018 20:38	BODS_USER	4/2/2016	1	1	1	0000K33500	220530	1	210456	210000	0	0.012
4/27/2018 20:38	4/27/2018 20:38	4/27/2018 20:38	BODS_USER	4/1/2016	1	2	1	0000K33500	220530	2	105488	105000	0	0.012
4/27/2018 20:38	4/27/2018 20:38	4/27/2018 20:38	BODS_USER	4/4/2016	1	3	2	0000K33500	220530	3	561388	560000	0	0.012
4/27/2018 20:38	4/27/2018 20:38	4/27/2018 20:38	BODS_USER	10/7/2016	1	4	2	0000K37100	229210	4	1501856	1500000	0	0.00245
4/27/2018 20:38	4/27/2018 20:38	4/27/2018 20:38	BODS_USER	7/19/2017	1	1	3	0000K37100	223628	1	1801880	1800000	0	0.00245
4/27/2018 20:38	4/27/2018 20:38	4/27/2018 20:38	BODS_USER	9/7/2016	1	2	3	0000K05100	228583	2	200500	200000	0	0.00226
4/27/2018 20:38	4/27/2018 20:38	4/27/2018 20:38	BODS_USER	3/1/2016	2	3	6	0000K14400	223445	3	1961619	1960000	0	0.00358
4/27/2018 20:38	4/27/2018 20:38	4/27/2018 20:38	BODS_USER	3/2/2016	2	4	6	0000K14400	223445	4	560630	560000	0	0.00358
4/27/2018 20:38	4/27/2018 20:38	4/27/2018 20:38	BODS_USER	9/8/2016	2	1	7	0000K05100	228583	1	1001000	1000000	0	0.00226
4/27/2018 20:38	4/27/2018 20:38	4/27/2018 20:38	BODS_USER	8/3/2017	2	2	7	0000K38100	229861	2	190608	190000	0	0.00272
